date,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,10%,30%,70%,90%,Min,Median ('91-'20),Median (POR),Max,Median Peak SWE
12-08,,0.7,1.8,2.6,0.4,1.8,0.0,1.3,0.6,1.6,2.9,3.0,0.4,3.2,2.2,1.1,1.7,1.0,2.3,1.4,0.7,0.7,1.9,0.0,0.42,0.79,1.87,2.87,0.0,1.6,1.5,3.2,
12-09,,0.6,1.8,2.5,0.3,1.9,0.0,1.3,0.9,1.6,3.0,3.0,0.7,3.3,2.2,0.8,1.8,1.0,2.3,1.7,0.7,0.8,1.9,0.0,0.61,0.83,1.9,2.95,0.0,1.7,1.65,3.3,
12-10,,0.6,1.8,2.4,0.2,2.0,0.0,1.4,1.0,1.8,3.0,3.0,0.7,3.4,2.2,0.0,1.9,1.0,2.3,1.7,0.7,0.8,1.9,0.0,0.24,0.86,1.97,2.94,0.0,1.8,1.75,3.4,
12-11,,0.6,1.8,2.4,0.0,2.0,0.0,1.4,1.0,1.8,2.9,3.0,0.6,3.5,2.2,0.2,2.3,1.0,2.3,1.7,0.8,0.8,2.0,0.0,0.24,0.86,2.14,2.85,0.0,1.8,1.75,3.5,
12-12,,0.6,1.8,2.4,0.0,2.0,0.0,1.4,0.9,1.8,2.9,3.0,0.7,3.7,2.2,0.2,2.3,1.0,2.3,1.7,0.8,0.8,2.0,0.2,0.24,0.83,2.14,2.85,0.0,1.8,1.75,3.7,
12-13,,0.7,1.8,2.5,0.2,2.0,0.0,1.4,1.1,1.8,2.9,3.0,0.7,3.7,2.1,0.5,2.3,1.0,2.3,1.7,0.8,0.8,2.1,0.2,0.52,0.86,2.1,2.86,0.0,1.8,1.75,3.7,
12-14,,0.8,1.8,2.5,0.0,2.0,0.0,1.4,1.3,1.7,2.8,3.0,0.7,3.7,2.2,0.5,2.3,1.2,2.3,1.7,0.9,0.8,2.1,0.0,0.52,0.99,2.17,2.77,0.0,1.7,1.7,3.7,
12-15,,0.8,1.8,2.5,0.0,2.0,0.0,1.4,1.3,2.1,2.7,3.0,0.8,3.8,2.5,1.3,2.3,1.2,2.3,1.7,1.0,0.9,2.2,0.0,0.8,1.23,2.27,2.68,0.0,1.8,1.75,3.8,
12-16,,0.8,1.9,2.4,0.0,2.0,0.1,1.5,1.4,2.1,2.6,3.1,0.8,3.7,2.4,1.3,2.6,1.1,2.3,1.7,1.0,1.0,2.2,0.0,0.8,1.16,2.27,2.6,0.0,1.9,1.8,3.7,
12-17,,1.0,1.8,2.4,0.0,2.2,0.1,1.5,1.5,2.1,2.6,3.1,0.8,3.6,2.3,1.7,3.1,1.6,2.3,1.7,1.0,1.2,2.2,0.0,0.82,1.5,2.27,3.05,0.0,1.8,1.75,3.6,
12-18,,0.9,1.7,2.4,0.0,2.2,0.0,1.5,1.7,2.1,2.6,3.2,0.9,3.6,2.3,1.7,3.1,1.6,2.3,1.7,1.0,1.3,2.2,0.0,0.9,1.53,2.27,3.05,0.0,1.7,1.7,3.6,
12-19,,1.1,1.5,2.4,0.0,2.2,0.0,1.5,1.7,2.2,2.6,3.2,0.9,3.5,2.3,1.7,3.1,1.6,2.3,1.7,1.0,1.3,2.2,0.0,0.91,1.5,2.27,3.05,0.0,1.7,1.7,3.5,
12-20,,1.1,1.6,2.5,0.0,2.3,0.0,1.5,1.7,2.2,2.7,3.2,0.9,3.6,2.4,1.8,3.1,1.6,2.3,1.7,1.0,1.2,2.2,0.0,0.91,1.53,2.3,3.06,0.0,1.8,1.75,3.6,
12-21,,1.1,1.6,2.5,0.0,2.3,0.0,1.6,1.7,2.2,2.7,3.3,0.9,3.6,2.4,1.9,3.0,2.0,2.3,1.7,0.9,1.5,2.2,0.0,0.9,1.6,2.3,2.97,0.0,2.0,1.95,3.6,
12-22,,1.1,1.6,2.5,0.3,2.3,0.0,1.6,1.7,2.2,2.6,3.8,0.9,3.6,2.4,1.9,3.0,2.0,2.3,1.7,0.9,1.4,2.5,0.0,0.9,1.6,2.37,2.96,0.0,2.0,1.95,3.8,
12-23,,1.1,1.6,2.5,0.9,2.1,0.3,1.7,1.7,2.2,2.6,3.8,0.9,3.8,2.5,1.9,3.0,2.2,2.3,1.7,1.0,1.4,2.7,0.0,0.91,1.63,2.44,2.97,0.3,2.1,2.0,3.8,
12-24,,1.1,1.8,2.5,1.1,2.0,0.4,1.7,1.7,2.2,2.6,3.8,0.9,3.9,2.5,1.9,3.0,2.2,2.3,1.6,1.0,1.3,2.7,0.4,1.01,1.63,2.44,2.97,0.4,2.0,1.95,3.9,
12-25,,1.1,1.9,2.5,1.1,1.8,0.4,1.9,1.8,2.2,2.6,3.8,0.9,3.9,2.7,1.9,3.0,2.2,2.3,1.6,1.0,1.4,2.7,0.2,1.01,1.66,2.44,2.97,0.4,1.9,1.9,3.9,
12-26,,1.1,1.9,2.5,1.0,1.6,0.5,1.9,2.0,2.2,2.7,3.8,1.0,3.9,3.5,1.9,3.2,2.4,2.5,1.6,0.9,1.3,2.7,0.3,1.0,1.6,2.5,3.47,0.5,2.0,1.95,3.9,
12-27,,1.1,1.9,3.2,1.0,1.5,0.5,1.9,2.3,2.2,2.7,3.8,1.1,3.9,3.5,1.9,3.2,2.5,2.5,1.6,1.0,1.3,2.7,0.3,1.01,1.53,2.64,3.47,0.5,2.2,2.05,3.9,
12-28,,1.1,1.9,3.2,1.0,1.5,0.5,1.8,2.3,2.2,2.7,3.9,1.1,3.9,3.5,2.0,3.2,2.6,2.6,1.6,1.1,1.4,2.6,0.3,1.1,1.53,2.6,3.47,0.5,2.2,2.1,3.9,
12-29,,1.1,1.6,3.2,1.0,1.5,0.9,1.8,2.3,2.2,2.7,3.9,1.1,3.9,3.9,2.0,3.2,2.7,2.6,1.7,1.1,1.4,2.5,0.3,1.1,1.53,2.67,3.83,0.9,2.2,2.1,3.9,
12-30,,1.1,1.6,3.2,1.0,1.8,0.8,1.8,2.4,2.2,2.8,4.1,1.1,3.9,3.9,2.1,3.2,2.7,2.6,1.7,1.0,1.6,2.5,0.4,1.01,1.63,2.67,3.83,0.8,2.2,2.15,4.1,
12-31,,1.2,1.6,3.3,0.9,1.8,0.8,1.8,2.4,2.3,3.1,4.4,1.1,3.9,3.9,2.1,3.7,2.7,3.2,1.7,0.9,1.5,2.5,0.4,0.92,1.63,2.98,3.88,0.8,2.3,2.2,4.4,
01-01,,1.3,1.6,3.3,1.0,1.7,0.9,1.8,2.6,2.4,3.1,4.4,1.1,3.9,4.0,2.1,3.7,2.8,3.2,1.7,1.0,1.6,2.5,0.4,1.01,1.63,3.01,3.88,0.9,2.4,2.25,4.4,
01-02,,1.3,1.5,3.4,1.0,1.7,0.9,1.8,2.6,2.4,3.1,4.4,1.1,4.1,4.0,2.2,3.8,2.8,3.2,1.7,0.9,1.8,2.5,0.3,1.01,1.7,3.01,3.98,0.9,2.4,2.3,4.4,
01-03,,1.4,1.5,3.4,1.0,1.6,1.0,1.9,3.2,2.4,3.1,4.4,1.1,4.2,4.0,2.2,3.8,2.9,3.2,1.7,1.0,1.8,2.5,0.3,1.01,1.63,3.17,3.98,1.0,2.4,2.3,4.4,
01-04,,1.4,1.4,3.4,1.1,1.8,1.0,1.9,3.3,2.4,3.1,4.4,1.2,4.3,4.2,2.2,3.7,2.9,3.2,1.7,0.9,1.8,2.5,0.3,1.11,1.73,3.17,4.15,0.9,2.4,2.3,4.4,
