date,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,10%,30%,70%,90%,Min,Median (POR),Max
04-22,36.5,48.2,50.72,41.54,39.74,55.76,45.14,38.3,60.26,50.18,34.7,58.82,21.38,55.04,51.62,61.88,43.52,46.76,41.72,49.82,39.38,36.14,32.0,41.36,34.988,39.596,50.396,58.208,21.38,45.14,61.88
04-23,44.24,35.78,47.66,50.18,45.5,30.56,39.56,33.26,42.26,43.16,37.04,64.76,30.92,43.34,46.94,50.0,48.02,34.16,52.52,42.26,28.4,34.52,39.92,44.06,31.388,36.536,46.076,50.144,28.4,42.26,64.76
04-24,48.92,31.82,48.38,44.06,46.76,30.38,47.84,30.38,29.12,45.32,44.24,62.06,39.74,46.04,48.92,42.44,39.74,36.86,44.78,42.08,37.76,36.86,45.68,52.7,30.668,38.948,45.824,48.812,29.12,44.06,62.06
04-25,56.84,31.46,50.54,44.24,45.32,37.58,50.9,32.9,37.4,37.22,45.86,57.92,50.72,46.58,37.22,39.2,36.32,44.06,37.4,48.2,40.1,43.88,45.32,48.92,36.5,37.508,46.148,50.864,31.46,44.06,57.92
04-26,58.28,33.08,40.64,53.96,44.78,48.38,43.34,35.96,33.62,38.3,37.4,58.46,52.88,40.64,34.88,33.44,38.3,48.38,38.66,51.44,37.4,50.9,48.02,40.82,33.872,37.94,48.38,53.744,33.08,40.64,58.46
04-27,60.98,28.76,40.82,62.06,28.58,44.96,51.8,48.38,37.58,50.9,41.36,44.78,57.2,40.1,41.18,33.08,36.32,55.22,41.54,48.74,43.16,43.52,38.84,44.6,33.728,40.532,48.524,56.804,28.58,43.16,62.06
04-28,60.08,40.46,34.52,34.88,25.7,47.48,61.52,56.48,34.88,41.72,45.14,38.48,48.38,38.48,51.62,31.64,34.16,59.9,30.2,48.74,48.02,40.46,46.4,42.98,32.144,37.04,48.164,59.216,25.7,41.72,61.52
04-29,49.28,44.42,36.32,33.98,27.14,51.26,60.98,57.56,33.98,37.04,33.62,43.16,44.24,38.48,60.08,35.24,37.76,48.2,26.24,58.28,54.14,37.4,52.16,43.34,33.692,36.752,50.072,58.136,26.24,43.16,60.98
04-30,51.26,35.6,35.96,42.08,31.28,46.94,51.44,38.66,32.0,36.32,36.86,48.92,31.64,43.52,46.58,36.14,44.24,37.76,28.4,54.32,60.98,41.36,50.9,36.68,31.712,36.248,46.724,51.404,28.4,41.36,60.98
05-01,33.8,33.26,37.94,48.2,30.02,47.12,54.32,37.04,36.68,41.9,35.24,44.42,31.46,52.52,54.32,43.16,41.54,39.38,32.9,46.4,52.88,37.4,53.6,34.16,32.972,36.896,46.688,53.456,30.02,41.54,54.32
05-02,33.98,48.2,45.68,58.82,34.88,40.28,61.88,36.14,41.54,41.18,45.5,42.62,43.16,56.66,57.2,49.46,40.64,43.88,38.48,49.64,37.04,41.36,56.3,38.3,36.32,40.964,48.704,57.092,33.98,43.16,61.88
05-03,39.38,38.84,45.5,55.04,44.6,36.32,50.0,46.22,46.76,44.06,46.22,46.04,45.68,39.02,46.58,56.84,47.12,48.92,43.7,49.64,39.74,40.82,59.9,34.16,39.092,43.916,46.904,54.032,36.32,46.04,59.9
05-04,48.56,44.42,42.62,61.88,51.44,33.98,40.82,48.74,46.58,35.96,41.0,50.0,39.38,44.06,51.26,61.34,57.38,55.4,49.1,41.9,43.52,48.2,58.1,46.76,39.668,43.16,50.504,57.956,33.98,48.2,61.88
05-05,51.08,40.82,39.74,60.26,50.36,47.12,37.04,54.86,50.9,32.54,51.62,39.74,45.86,48.02,56.48,62.6,65.3,53.6,36.14,45.14,44.42,55.94,47.3,44.96,37.58,44.852,52.412,59.504,32.54,48.02,65.3
05-06,39.92,34.88,36.86,52.7,54.86,55.94,45.14,50.0,46.58,28.4,47.12,40.82,52.7,38.12,41.72,47.84,66.92,58.46,35.6,47.84,49.28,56.66,47.48,44.6,35.852,41.36,51.08,56.516,28.4,47.48,66.92
05-07,50.18,31.46,39.74,58.64,45.86,50.36,52.7,40.82,41.54,31.28,45.14,45.5,57.92,31.46,36.32,47.48,54.86,54.14,38.66,37.94,50.54,45.5,45.86,43.7,32.432,40.388,50.252,54.716,31.28,45.5,58.64
05-08,59.54,28.4,35.42,59.9,44.24,42.62,57.92,43.88,39.74,37.94,42.26,53.6,52.34,40.28,34.88,55.94,44.06,56.48,38.3,39.38,37.76,38.66,49.82,36.68,35.888,39.092,50.828,57.632,28.4,42.62,59.9
05-09,50.18,34.88,34.88,51.26,43.34,37.04,61.52,34.7,41.54,42.08,37.94,64.04,53.06,43.7,34.34,41.54,47.12,54.86,38.48,38.84,36.5,37.04,49.64,41.18,34.88,37.58,48.128,54.5,34.34,41.54,64.04
05-10,47.84,34.88,35.78,39.56,39.56,42.98,51.08,40.64,44.06,37.04,36.32,43.16,52.7,36.68,35.96,35.42,53.24,50.18,46.76,34.52,35.96,38.84,46.76,49.28,35.492,36.536,45.14,50.9,34.52,39.56,53.24
05-11,56.12,42.8,41.9,33.8,32.72,51.98,56.3,47.84,50.18,35.42,43.7,42.62,55.94,35.42,44.24,41.36,60.08,40.46,49.64,31.82,39.56,42.62,44.24,56.84,34.124,41.0,48.56,56.084,31.82,42.8,60.08
05-12,67.28,46.94,48.02,28.58,32.18,55.58,66.02,38.84,39.38,35.6,48.2,50.9,67.1,36.5,42.26,50.54,65.12,38.3,59.18,38.48,46.22,40.28,44.6,57.92,35.78,39.164,50.684,65.84,28.58,46.22,67.28
05-13,70.34,55.58,48.92,34.16,47.3,51.98,57.02,46.4,40.64,44.06,49.64,58.46,68.9,43.88,47.48,34.7,46.04,45.32,61.52,45.68,50.72,46.4,43.52,58.64,41.216,45.536,51.224,60.908,34.16,47.3,70.34
05-14,64.4,55.4,57.2,42.44,51.44,53.6,43.7,47.48,49.46,51.44,37.76,60.98,57.38,48.56,44.42,37.76,46.94,47.3,60.44,46.76,48.2,45.86,45.86,47.66,42.692,46.4,52.304,59.828,37.76,48.2,64.4
05-15,51.08,43.34,60.26,48.74,56.48,58.64,47.3,51.44,42.26,54.5,47.48,62.6,54.86,54.32,45.14,39.02,44.6,55.94,57.56,44.78,48.92,50.9,53.42,51.26,43.592,47.408,54.644,58.424,39.02,51.08,62.6
05-16,44.42,36.86,46.4,39.2,56.48,63.68,56.3,60.62,51.26,56.3,47.3,66.92,49.28,47.48,42.98,40.64,47.66,58.46,46.22,47.66,54.14,55.58,58.46,57.92,41.108,46.94,56.3,60.188,36.86,49.28,66.92
05-17,48.38,46.04,40.28,41.36,47.12,65.48,66.38,64.4,64.22,61.88,44.06,55.94,47.66,49.1,36.86,50.9,39.02,54.68,42.26,56.48,60.44,54.32,48.74,52.52,40.496,46.688,56.156,64.364,36.86,49.1,66.38
05-18,52.52,52.88,32.18,44.6,54.32,68.54,62.78,68.54,67.28,57.56,42.98,43.7,46.22,48.74,36.14,56.3,37.22,43.34,33.8,59.72,63.32,54.68,49.46,46.58,36.356,44.24,56.804,66.488,32.18,52.52,68.54
05-19,55.22,56.3,34.34,48.56,57.74,64.04,59.72,58.28,67.28,52.16,37.76,45.86,42.44,49.64,37.76,56.84,42.26,40.1,31.82,59.0,48.56,41.9,54.86,40.82,37.76,42.368,56.516,59.576,31.82,49.64,67.28
05-20,35.42,62.06,46.4,49.64,55.94,62.06,53.24,65.84,44.06,51.44,38.48,52.88,44.96,48.02,41.18,50.18,47.12,50.54,34.88,50.9,38.84,33.26,62.96,38.84,36.032,44.6,52.016,62.06,33.26,49.64,65.84
05-21,46.94,55.76,49.64,48.2,51.8,64.04,47.48,43.34,49.28,45.32,45.68,63.86,48.38,52.52,46.94,49.1,49.64,55.22,35.6,48.56,29.48,36.32,62.24,43.88,37.724,46.94,50.504,60.944,29.48,48.56,64.04
05-22,57.02,40.28,55.4,44.78,59.9,65.3,35.42,36.14,49.1,43.88,51.08,51.08,43.88,59.36,47.48,48.2,47.12,53.06,38.84,47.48,32.36,37.76,63.68,48.02,36.464,43.88,51.872,59.792,32.36,47.48,65.3
05-23,59.9,31.82,59.0,39.74,46.58,59.18,40.64,41.9,55.22,44.6,49.28,43.34,46.4,62.78,45.86,45.14,55.76,50.72,42.08,36.5,42.98,45.32,55.58,35.96,39.92,43.196,52.52,59.144,31.82,45.86,62.78
05-24,61.34,43.16,60.44,36.86,41.36,60.08,46.76,44.6,53.6,39.38,45.14,41.36,51.08,59.36,44.96,44.24,57.2,59.36,44.06,40.82,50.36,46.94,54.14,44.78,40.928,44.168,53.816,59.936,36.86,46.76,61.34
05-25,59.36,50.72,66.74,43.88,42.8,63.86,42.8,44.42,51.44,44.06,45.86,33.8,53.24,56.3,50.54,48.02,42.98,62.24,50.72,51.8,51.08,54.68,52.52,46.94,42.836,45.284,52.808,61.664,33.8,50.72,66.74
05-26,59.36,49.46,61.7,52.16,47.84,53.6,49.82,37.58,55.04,52.34,44.96,34.34,52.34,63.14,51.08,48.38,44.6,60.44,49.82,56.3,44.06,59.9,49.46,46.4,44.168,49.028,54.176,60.332,34.34,51.08,63.14
05-27,56.12,55.4,61.16,54.86,53.6,42.98,61.16,38.12,60.62,51.8,43.7,38.12,51.8,57.56,50.9,49.64,53.42,55.04,42.8,55.76,52.16,59.72,51.8,52.16,42.836,51.44,55.544,60.44,38.12,53.42,61.16
05-28,57.2,60.26,67.82,55.76,53.6,42.98,47.84,43.34,61.52,47.3,41.9,42.8,50.36,64.76,47.48,47.48,53.6,52.7,44.96,52.16,55.22,48.56,55.22,62.06,43.052,47.48,55.22,61.268,41.9,52.16,67.82
05-29,53.24,61.52,71.24,44.6,42.62,47.84,42.8,52.88,64.4,44.6,36.32,50.0,43.7,54.68,46.04,55.76,55.22,56.84,51.08,57.56,47.12,43.16,57.2,51.26,42.872,45.464,55.436,60.728,36.32,51.08,71.24
05-30,51.98,56.12,54.14,48.74,41.0,48.74,46.94,51.8,63.14,49.46,39.74,47.84,48.38,54.14,56.66,47.84,57.38,59.9,57.92,62.6,51.8,38.12,57.56,44.06,42.188,48.596,56.336,59.504,38.12,51.8,63.14
05-31,56.48,59.18,54.32,51.08,48.38,55.58,47.3,53.6,64.4,54.68,47.48,52.16,48.2,52.52,58.82,47.12,59.9,55.58,53.06,67.64,58.46,41.9,58.1,48.92,47.336,51.728,57.128,59.756,41.9,54.32,67.64
06-01,59.72,56.84,54.32,52.88,47.84,61.7,51.44,57.56,45.32,48.2,53.6,56.84,50.18,48.56,58.46,55.58,65.48,50.0,56.66,58.82,60.44,46.58,56.48,55.4,47.912,50.936,57.128,60.296,45.32,55.58,65.48
06-02,59.72,48.02,51.62,57.74,49.46,69.44,58.1,53.42,40.1,55.76,53.06,59.0,54.14,55.76,54.86,60.08,61.34,53.6,62.24,58.28,65.12,48.92,50.18,54.14,49.028,53.276,58.568,62.06,40.1,55.76,69.44
06-03,45.32,47.12,51.98,65.3,50.18,61.52,59.18,51.62,44.06,56.12,47.48,57.74,49.28,55.94,53.78,58.46,62.78,60.08,61.16,61.88,72.14,51.8,52.34,57.74,47.192,51.728,59.54,62.6,44.06,55.94,72.14
06-04,41.0,49.64,49.28,61.16,53.24,60.26,59.9,44.78,53.96,52.52,53.6,65.66,41.54,54.32,53.42,61.88,69.26,69.8,60.8,55.94,69.62,55.58,53.6,55.58,45.68,53.348,60.476,68.54,41.0,54.32,69.8
06-05,47.84,60.26,46.76,68.72,56.3,58.64,60.98,46.94,48.38,52.88,63.86,72.68,51.26,55.94,53.06,64.76,59.54,56.48,61.34,59.0,68.72,54.32,58.1,60.44,47.948,53.816,60.548,67.928,46.76,58.1,72.68
06-06,51.26,59.0,41.36,62.78,48.02,62.78,47.12,44.96,40.1,52.34,61.34,51.62,59.18,42.08,58.28,61.88,55.04,57.2,66.38,57.92,55.04,51.08,56.66,61.16,42.656,51.188,58.568,62.6,40.1,55.04,66.38
06-07,55.4,53.6,47.66,53.42,43.7,60.8,42.8,44.42,36.32,53.42,49.82,54.5,62.78,48.56,62.78,67.46,60.44,58.28,48.38,50.0,56.3,50.72,59.54,61.7,43.844,49.316,57.092,62.384,36.32,53.42,67.46
06-08,58.82,49.46,59.9,44.42,44.24,61.7,53.24,48.92,40.64,52.7,43.16,60.98,60.08,51.62,69.98,69.26,69.8,60.44,38.12,44.96,55.76,53.24,56.3,58.46,43.376,49.244,59.972,67.748,38.12,53.24,69.98
06-09,62.24,39.92,52.34,50.9,45.86,56.3,60.62,50.54,40.46,57.56,44.24,46.4,64.58,62.06,68.72,69.26,59.18,69.8,48.38,49.28,65.12,58.28,56.84,53.24,44.564,50.036,61.196,68.0,39.92,56.84,69.8
06-10,64.94,42.98,52.7,47.48,51.8,53.6,62.6,47.3,42.98,49.64,48.92,49.46,58.46,55.04,59.54,68.18,53.06,55.94,53.24,55.04,59.36,65.3,53.42,58.64,47.336,50.936,56.948,64.472,42.98,53.42,68.18
06-11,51.98,47.12,55.76,51.26,51.62,54.14,57.74,40.64,49.82,43.52,52.52,54.32,57.02,48.2,61.16,58.64,50.0,42.44,53.24,60.98,52.88,59.0,53.42,64.4,44.24,50.756,54.896,58.928,40.64,52.88,61.16
06-12,44.6,51.44,56.48,52.16,45.86,56.84,59.72,47.3,55.04,42.8,52.88,59.72,55.04,56.84,63.68,55.58,53.42,50.0,60.98,69.8,62.6,50.9,52.52,64.04,46.148,51.872,56.84,62.276,42.8,55.04,69.8
06-13,35.42,53.06,60.08,54.86,50.72,59.18,59.0,57.2,57.56,47.48,55.76,58.1,59.18,56.84,55.94,58.46,46.4,66.38,60.62,73.4,65.84,50.9,57.92,59.18,48.128,55.4,59.072,64.796,35.42,57.56,73.4
06-14,47.84,56.3,63.5,55.22,59.72,55.4,53.6,57.74,53.78,56.48,53.96,54.68,51.44,48.02,48.92,59.18,55.22,57.74,59.0,58.28,76.64,47.84,55.4,62.96,48.2,53.888,57.74,59.612,47.84,55.4,76.64
06-15,53.06,58.46,59.9,46.58,59.36,56.3,52.52,54.32,55.22,57.74,54.32,56.48,56.12,52.7,48.74,49.28,56.48,48.56,55.04,56.48,75.74,55.94,49.82,58.46,48.848,52.916,56.48,59.18,46.58,55.22,75.74
06-16,55.4,64.76,59.72,46.22,58.82,58.64,59.9,57.92,57.02,52.88,47.66,61.88,57.56,52.16,51.62,57.74,56.48,51.8,52.52,50.9,64.04,62.24,51.8,50.0,51.044,52.376,58.712,62.168,46.22,57.02,64.76
06-17,57.74,60.98,63.5,41.18,62.6,58.46,52.52,63.68,57.74,50.54,51.62,64.76,59.72,48.92,60.08,54.5,53.96,48.92,53.78,43.7,62.96,76.1,55.76,45.86,48.92,53.276,60.44,63.644,41.18,57.74,76.1
06-18,48.02,53.96,67.28,39.56,56.66,57.02,53.24,60.08,53.6,53.42,56.66,58.1,64.94,48.02,60.98,67.1,56.3,50.0,57.38,48.02,62.24,71.42,54.68,41.0,48.02,53.528,58.892,66.668,39.56,56.66,71.42
06-19,50.54,51.62,68.36,44.96,59.72,56.84,61.16,57.74,61.16,51.08,48.2,50.36,66.02,56.66,61.88,59.9,60.8,50.54,50.54,53.42,64.4,53.06,53.78,50.72,50.396,51.404,60.26,63.896,44.96,56.66,68.36
06-20,56.84,58.1,62.24,51.26,68.0,56.48,65.84,60.98,56.3,54.14,53.06,53.42,54.32,60.98,58.46,64.22,68.72,53.78,46.58,57.38,48.38,51.08,49.82,55.58,50.072,53.636,59.468,65.516,46.58,56.48,68.72
06-21,65.12,61.88,50.72,54.32,74.3,52.88,67.64,66.92,57.2,57.2,59.0,60.98,51.44,56.12,61.7,70.52,64.76,59.72,45.86,57.74,57.92,55.4,46.22,55.4,50.864,55.832,61.772,67.496,45.86,57.92,74.3
06-22,71.24,57.02,46.4,58.46,74.48,60.26,70.52,62.06,56.66,52.52,63.32,61.88,49.64,51.08,57.02,61.16,53.6,57.38,47.48,59.72,69.8,65.12,51.8,64.04,49.928,55.436,61.952,70.376,46.4,58.46,74.48
06-23,66.56,59.54,48.2,60.98,63.5,62.24,70.7,60.08,54.68,59.0,63.14,64.58,56.84,53.6,62.24,72.32,51.98,54.32,52.52,65.12,67.64,68.72,50.36,75.02,52.088,55.976,63.932,68.504,48.2,60.98,72.32
06-24,68.54,64.94,39.74,49.1,57.56,58.82,66.38,64.4,66.02,66.2,58.1,74.12,61.88,56.66,61.52,65.48,54.68,57.2,50.9,67.1,62.78,51.98,51.08,67.82,50.936,56.984,65.156,66.956,39.74,61.52,74.12
06-25,61.88,66.74,49.46,52.88,62.24,62.6,59.54,62.06,72.68,63.32,54.68,78.8,64.4,58.28,62.42,57.38,59.18,66.38,54.5,59.0,55.4,47.48,56.12,62.24,53.204,56.876,62.492,66.668,47.48,59.54,78.8
06-26,59.36,72.14,58.64,52.88,54.68,65.3,54.68,61.34,57.56,58.46,53.24,73.22,63.86,56.48,69.62,60.98,69.98,61.52,55.76,67.28,59.18,55.04,54.14,60.26,54.248,56.192,62.456,69.908,52.88,59.18,73.22
06-27,64.4,73.22,62.06,52.88,55.94,65.48,59.18,58.64,56.66,61.7,59.72,61.16,66.74,53.96,70.7,62.78,61.88,60.8,62.6,69.08,64.58,63.86,54.68,62.96,54.932,59.504,64.076,68.612,52.88,61.88,73.22
06-28,65.48,73.22,57.74,59.18,57.38,73.04,71.24,59.36,67.46,68.18,73.04,66.74,68.0,53.78,73.4,68.18,56.66,61.88,60.98,50.72,64.22,68.54,55.58,54.86,55.796,59.288,68.18,73.04,50.72,65.48,73.4
06-29,63.32,69.98,64.4,63.86,55.22,71.06,78.44,66.2,66.74,71.6,73.58,72.68,64.76,56.3,73.04,66.2,52.7,52.16,58.82,48.2,68.72,64.58,58.64,55.4,53.204,61.52,69.224,72.968,48.2,64.76,78.44
06-30,61.52,67.28,73.4,60.08,59.9,63.86,68.18,70.16,65.84,65.66,61.88,67.64,67.1,55.58,71.06,62.6,58.28,54.32,58.1,51.26,70.88,58.28,64.4,60.8,56.084,60.008,67.172,70.736,51.26,63.86,73.4
07-01,64.76,62.06,69.62,61.34,66.2,61.52,66.02,64.04,59.9,67.28,59.0,72.68,68.9,58.1,69.08,67.46,67.82,58.82,60.08,56.3,70.7,60.08,65.48,55.4,58.856,60.836,67.352,69.512,56.3,64.76,72.68
07-02,68.9,63.14,69.62,59.72,59.9,62.6,70.7,55.22,59.36,66.74,65.66,67.1,72.32,62.78,64.22,69.44,66.38,58.64,57.38,62.78,72.14,62.6,66.2,55.76,58.784,62.6,66.884,70.484,55.22,64.22,72.32
07-03,68.36,62.42,65.48,62.6,54.68,62.06,68.72,64.76,57.2,53.78,72.14,77.36,75.2,67.46,68.54,66.2,69.62,53.42,51.08,62.6,73.04,58.82,52.7,51.26,53.492,60.764,68.432,72.86,51.08,64.76,77.36
07-04,68.9,72.5,64.58,55.04,60.98,62.6,71.6,76.28,59.18,56.66,64.58,64.58,66.74,73.22,73.76,65.66,68.54,55.04,54.5,61.7,65.84,60.8,48.92,53.06,55.04,60.908,67.46,73.076,48.92,64.58,76.28
07-05,72.32,65.48,68.18,50.18,66.56,62.42,72.14,64.76,64.22,50.0,66.74,56.84,62.42,71.6,52.7,60.08,69.62,62.24,53.06,60.08,58.1,60.26,53.96,58.28,52.772,59.288,65.912,71.204,50.0,62.42,72.32
07-06,66.02,64.58,58.64,60.26,72.32,66.74,78.26,61.52,60.62,48.2,64.58,66.74,62.06,69.98,54.68,55.58,68.18,76.46,57.92,60.26,66.56,63.5,53.96,57.2,54.86,60.26,66.632,71.852,48.2,63.5,78.26
07-07,69.08,67.64,60.26,62.42,70.7,66.02,70.88,63.86,60.8,54.68,67.28,66.92,59.54,63.14,58.28,57.56,68.72,70.34,60.62,64.58,68.0,64.04,57.38,58.28,57.704,60.728,67.424,70.088,54.68,64.04,70.88
07-08,68.18,70.52,63.14,55.22,77.9,69.44,65.48,62.78,51.62,61.88,66.92,69.62,65.12,63.68,57.2,69.62,73.76,66.56,55.4,58.46,68.54,69.8,57.92,67.46,55.76,62.42,68.9,70.376,51.62,65.48,77.9
07-09,63.68,62.96,66.2,62.42,75.56,68.36,66.2,67.82,54.32,68.0,65.48,74.12,63.5,68.0,62.78,68.72,71.6,70.88,52.88,61.52,62.24,68.36,65.3,69.62,61.664,63.284,68.144,71.456,52.88,66.2,75.56
07-10,61.88,64.76,67.46,67.1,57.92,68.36,58.46,73.22,59.54,66.38,65.3,73.04,71.42,69.8,61.7,53.78,69.44,73.76,63.68,60.98,67.64,61.52,67.1,74.12,58.676,61.808,67.928,72.716,53.78,66.38,73.76
07-11,67.82,73.94,66.2,67.28,62.42,72.32,64.04,57.02,66.02,59.0,62.06,69.44,71.06,60.26,66.56,55.04,63.14,62.96,67.64,64.04,71.96,60.8,63.86,75.2,59.252,62.744,67.424,71.78,55.04,64.04,73.94
07-12,66.92,81.5,74.12,64.22,72.68,67.64,68.0,58.64,64.22,70.16,63.86,73.76,67.82,63.86,66.02,56.3,61.88,64.22,65.48,71.42,64.58,66.92,62.06,71.24,61.916,64.22,67.892,73.544,56.3,66.02,81.5
07-13,65.12,80.6,76.1,64.94,80.6,67.82,72.32,67.1,61.7,61.34,67.1,74.3,63.5,68.18,66.02,57.38,73.76,71.78,65.48,57.74,58.1,69.8,61.52,70.7,58.748,64.364,70.592,75.74,57.38,67.1,80.6
07-14,61.16,79.16,66.2,74.48,65.84,75.2,71.24,68.36,57.74,58.28,62.42,68.18,61.52,61.34,62.78,61.34,73.4,69.8,68.0,57.2,60.8,70.16,61.7,72.68,58.784,61.448,68.936,74.264,57.2,65.84,79.16
07-15,59.0,73.04,69.62,68.18,72.86,77.36,76.82,67.64,60.98,66.92,64.4,68.36,71.78,55.94,58.1,61.52,70.88,62.06,60.98,61.88,69.08,69.08,64.58,68.0,59.396,61.988,69.296,73.004,55.94,67.64,77.36
07-16,60.62,67.46,74.66,71.6,75.2,73.58,75.2,62.06,65.3,74.84,71.24,61.7,55.58,62.78,61.34,56.12,69.8,63.32,57.74,68.9,73.4,71.42,68.72,70.16,58.316,62.492,71.492,74.804,55.58,68.72,75.2
07-17,58.64,66.38,77.36,75.02,55.58,73.4,70.16,59.18,68.72,66.56,69.26,66.2,59.72,68.9,55.22,61.88,60.98,62.42,60.98,71.78,74.3,76.28,69.08,66.02,58.748,61.52,69.62,74.876,55.22,66.56,77.36
07-18,58.64,70.7,75.2,72.14,65.66,75.38,70.7,59.36,71.96,66.2,74.84,75.74,68.54,63.5,54.32,66.2,64.04,69.08,62.6,62.42,78.44,72.5,65.3,69.8,59.972,64.796,72.032,75.344,54.32,68.54,78.44
07-19,64.22,67.64,76.82,68.9,75.38,68.18,77.36,64.4,70.34,59.0,75.92,77.9,68.36,69.8,63.5,75.38,69.62,66.56,59.72,63.5,78.98,66.02,60.98,69.98,61.484,65.372,72.356,77.252,59.0,68.36,78.98
07-20,65.3,63.14,74.66,65.84,70.88,71.78,78.26,64.94,59.36,58.28,62.06,74.48,68.36,72.5,66.56,69.44,72.32,67.28,57.02,61.34,66.74,71.06,60.8,68.18,59.648,64.22,70.952,74.084,57.02,66.74,78.26
07-21,64.94,57.02,71.06,64.4,72.68,68.36,79.16,71.96,63.5,58.1,62.78,74.48,70.7,61.7,62.6,70.88,67.82,70.16,56.66,66.38,66.2,71.06,68.54,68.9,58.82,64.04,70.772,72.536,56.66,67.82,79.16
07-22,62.24,57.74,74.3,56.3,69.08,72.86,78.8,70.52,69.8,61.52,62.78,68.9,69.44,66.02,66.92,74.48,67.64,63.86,64.94,73.76,67.46,71.6,74.12,71.6,61.664,65.588,70.952,74.264,56.3,68.9,78.8
07-23,61.16,62.06,79.88,53.6,71.6,75.56,78.44,66.74,75.2,60.98,61.34,71.96,69.44,69.08,61.7,63.5,71.6,62.06,69.8,65.3,68.0,64.04,73.76,75.2,61.196,62.924,71.6,75.488,53.6,68.0,79.88
07-24,65.3,70.52,75.38,60.26,67.46,69.26,72.5,61.34,65.66,64.76,68.36,68.0,69.98,73.4,66.38,67.46,73.76,65.12,67.82,65.66,67.64,63.86,71.78,78.26,64.04,65.66,69.548,73.22,60.26,67.64,75.38
07-25,63.86,67.28,64.94,69.8,50.0,71.96,64.76,64.04,67.46,73.22,74.12,66.2,64.04,63.68,68.9,71.42,58.64,60.26,64.4,63.86,71.96,65.84,75.02,75.2,60.944,64.04,69.26,72.968,50.0,65.84,75.02
07-26,61.16,64.76,63.86,68.0,54.68,72.5,59.9,73.04,67.28,69.44,68.72,67.28,64.22,63.32,69.08,67.28,65.84,59.36,65.3,63.86,73.58,62.42,69.08,64.04,60.152,63.86,68.288,71.888,54.68,65.84,73.58
07-27,65.84,57.38,68.54,60.44,65.48,77.18,65.3,74.48,54.86,61.52,61.88,60.62,65.66,64.76,53.42,70.16,68.9,57.74,66.92,68.0,77.36,65.84,62.96,63.5,57.452,61.736,67.352,73.616,53.42,65.48,77.36
07-28,74.84,63.68,73.04,57.92,68.0,78.44,72.32,70.34,56.12,62.96,63.86,68.9,61.16,67.46,54.32,61.88,68.9,58.28,63.14,63.68,68.36,66.74,60.8,63.68,57.992,62.528,68.576,72.896,54.32,63.86,78.44
07-29,65.66,68.36,66.74,61.52,71.06,83.3,74.66,70.16,50.72,70.34,71.96,69.8,55.76,67.46,60.08,65.84,67.46,59.36,61.7,62.42,65.48,70.88,64.58,67.82,59.504,63.716,69.944,71.78,50.72,66.74,83.3
07-30,58.64,70.52,71.42,68.18,69.08,74.3,77.18,69.8,57.2,70.16,71.78,75.38,56.48,68.9,66.74,72.14,73.04,64.58,65.66,69.98,72.14,73.22,69.08,63.86,59.828,68.612,71.924,74.084,56.48,69.98,77.18
07-31,59.36,66.2,66.92,68.9,69.26,59.54,74.3,66.74,56.66,66.92,71.6,71.24,63.32,69.26,69.62,75.56,73.22,68.9,66.92,69.44,70.34,70.88,71.42,64.22,60.296,66.92,70.556,72.896,56.66,69.26,75.56
08-01,62.96,54.68,67.28,71.6,70.88,59.0,62.6,74.3,66.56,63.68,64.04,69.98,61.88,68.18,73.4,65.48,69.08,69.62,66.56,68.18,71.96,76.1,71.42,71.6,62.024,64.904,70.34,73.112,54.68,68.18,76.1
08-02,76.64,58.1,73.22,66.38,63.86,61.16,65.48,70.16,69.98,64.94,66.92,69.62,58.46,65.66,69.62,71.24,54.5,69.08,69.26,69.44,69.8,71.6,65.48,77.0,59.0,65.48,69.692,71.528,54.5,69.08,76.64
08-03,76.28,55.22,68.9,61.34,55.94,67.82,68.72,68.36,68.18,60.98,69.26,53.78,58.64,65.66,67.28,68.54,56.3,64.76,68.72,69.44,64.94,70.88,59.54,74.3,56.012,61.196,68.612,69.404,53.78,67.28,76.28
08-04,73.76,60.08,65.48,63.5,60.98,66.92,68.9,62.6,64.4,57.38,67.28,60.26,62.78,59.9,59.9,59.18,66.02,60.62,66.92,64.94,70.52,76.64,60.26,65.66,59.9,60.476,66.38,70.196,57.38,63.5,76.64
08-05,68.9,64.58,67.64,64.58,72.5,63.68,61.88,68.36,59.18,63.14,63.5,72.86,65.12,57.38,60.08,65.84,57.38,53.6,64.4,65.66,66.92,62.06,57.02,65.48,57.38,61.988,65.732,68.792,53.6,64.4,72.86
08-06,75.56,70.16,71.24,66.56,73.22,64.94,64.4,66.92,60.08,65.3,65.66,71.6,63.5,65.84,61.16,64.04,54.32,60.62,67.64,66.56,64.22,49.46,54.86,67.46,55.904,63.824,66.704,71.528,49.46,65.3,75.56
08-07,76.46,58.46,72.14,62.42,72.32,68.9,69.8,71.96,56.84,63.5,67.1,73.22,64.58,67.64,59.54,60.62,60.08,66.92,63.86,66.74,68.54,61.16,54.32,53.42,58.676,61.916,68.684,72.284,54.32,66.74,76.46
