date,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,10%,30%,70%,90%,Min,Median (POR),Max
11-04,42.44,52.52,36.14,10.76,35.24,36.5,46.58,50.72,39.02,46.58,46.94,41.36,47.66,26.24,44.06,31.46,50.9,26.24,42.26,33.8,54.68,50.9,35.96,46.76,27.284,36.068,46.724,50.9,10.76,42.26,54.68
11-05,27.86,54.68,39.02,14.18,51.8,33.8,48.38,29.48,33.98,55.4,57.02,29.3,54.5,28.04,46.58,29.12,50.72,25.16,35.96,38.48,56.48,48.38,39.56,47.84,27.896,32.072,49.316,55.256,14.18,39.02,57.02
11-06,20.12,40.1,45.14,24.8,51.8,38.84,56.3,47.48,32.72,48.2,59.18,23.72,50.0,36.68,53.42,29.84,49.28,14.18,25.16,19.58,44.06,48.74,26.78,47.12,20.84,28.616,48.416,53.096,14.18,40.1,59.18
11-07,22.28,34.34,49.46,28.76,50.72,34.16,60.62,56.66,42.44,37.94,53.24,26.6,54.14,42.26,44.96,36.86,45.68,23.54,22.82,31.46,47.66,35.78,20.66,42.98,22.964,33.08,46.472,53.96,20.66,37.94,60.62
11-08,22.64,44.78,43.34,33.8,55.22,33.62,42.62,50.9,43.52,39.38,41.18,30.56,30.56,38.84,50.54,41.72,51.62,29.48,24.44,49.46,19.76,33.08,14.0,37.04,23.0,32.072,43.412,50.828,14.0,39.38,55.22
11-09,9.68,51.26,39.74,39.02,51.98,36.68,32.0,50.18,43.16,40.1,31.1,31.64,25.16,35.6,49.28,40.64,54.5,31.82,31.1,49.82,19.22,41.0,6.62,33.26,20.408,31.748,41.864,51.044,6.62,39.02,54.5
11-10,6.98,46.04,34.88,40.1,33.08,53.42,33.98,51.62,40.82,43.88,27.14,43.7,11.3,42.8,13.1,30.92,45.68,37.94,30.56,20.3,23.9,34.16,12.92,37.58,12.956,29.192,41.612,45.968,6.98,34.16,53.42
11-11,9.14,44.6,35.96,36.5,36.32,50.36,37.58,37.22,40.1,46.04,26.24,48.56,15.62,33.08,-1.3,32.9,49.28,34.52,22.82,21.74,20.3,30.56,19.94,42.62,16.484,24.872,37.364,48.056,-1.3,34.52,50.36
11-12,14.18,46.04,40.64,32.36,34.34,31.64,31.46,45.86,48.92,29.66,32.36,36.86,30.38,52.88,-4.72,31.1,54.32,32.72,24.08,45.32,22.1,43.7,27.32,42.98,22.496,30.812,41.864,48.344,-4.72,32.36,54.32
11-13,19.94,47.3,40.64,39.92,41.0,32.0,39.02,36.86,41.0,25.16,30.92,36.5,34.7,46.76,2.3,44.6,49.28,45.32,39.38,37.4,35.78,47.48,23.18,47.3,23.576,35.348,41.0,47.192,2.3,39.02,49.28
11-14,21.02,47.3,36.5,40.82,41.54,27.32,31.1,29.66,27.68,24.62,34.7,34.34,35.42,36.5,8.06,47.66,55.22,35.6,49.1,38.12,30.56,53.24,26.78,48.38,25.052,30.2,39.2,48.812,8.06,35.42,55.22
11-15,21.2,48.38,36.5,37.76,46.58,23.18,37.58,47.12,45.86,28.58,35.6,22.82,34.88,35.42,7.7,45.32,51.08,35.96,42.8,48.38,38.84,55.94,29.84,52.16,22.892,35.204,45.536,48.38,7.7,37.58,55.94
11-16,19.4,50.72,45.86,39.38,45.86,34.88,44.78,49.82,49.1,41.0,32.72,22.82,44.06,34.7,23.0,33.08,36.14,41.54,34.16,37.76,39.2,37.94,30.02,37.94,24.404,34.484,42.548,48.452,19.4,37.94,50.72
11-17,21.38,46.76,41.36,36.5,41.72,34.7,35.96,46.76,54.86,48.92,31.1,38.12,42.26,33.08,26.24,39.2,26.96,30.38,19.22,48.92,50.36,24.62,11.12,42.8,22.028,30.812,41.936,48.92,11.12,36.5,54.86
11-18,29.48,26.78,40.1,44.96,43.34,44.6,37.58,46.22,57.56,44.6,41.9,20.3,43.52,44.78,32.18,31.46,25.88,30.2,30.92,48.38,49.82,35.24,17.42,41.54,26.06,31.244,44.6,47.948,17.42,40.1,57.56
11-19,23.9,34.88,44.24,51.44,31.82,40.46,41.18,29.84,32.54,37.76,21.2,10.4,43.16,46.4,30.74,28.4,35.78,42.44,34.34,45.32,36.5,42.98,26.96,41.18,24.512,31.388,41.684,45.104,10.4,35.78,51.44
11-20,34.34,47.84,47.48,25.16,23.36,49.1,50.72,20.66,24.26,45.5,5.72,24.8,51.08,19.58,39.74,18.5,45.5,46.04,40.28,26.6,28.94,33.08,33.62,32.54,19.796,25.016,45.5,48.848,5.72,33.62,51.08
11-21,38.12,41.54,50.36,11.66,27.68,46.22,51.44,16.7,34.16,33.8,4.82,35.6,43.7,16.34,39.74,29.3,39.92,38.12,44.78,22.82,30.56,37.58,35.78,44.24,16.412,30.056,39.812,45.932,4.82,35.78,51.44
11-22,37.76,37.4,46.4,8.42,33.98,48.56,44.42,20.66,40.64,27.86,-0.94,42.44,28.58,23.72,41.18,42.44,32.9,53.96,41.36,37.58,30.2,48.38,39.38,45.32,21.272,31.82,41.792,47.984,-0.94,37.76,53.96
11-23,39.2,34.88,24.8,17.78,31.1,47.66,36.86,26.06,30.38,30.92,-6.7,48.2,39.2,32.0,33.44,41.54,35.42,56.12,36.32,44.78,32.72,42.44,35.42,23.36,25.052,31.64,39.2,47.084,-6.7,35.42,56.12
11-24,33.8,29.66,17.42,27.86,40.1,44.6,35.24,37.76,41.72,37.04,0.86,46.76,43.16,41.0,33.44,36.68,32.36,39.74,29.3,43.52,29.12,28.4,37.04,13.28,27.968,31.28,39.884,43.448,0.86,36.68,46.76
11-25,32.72,25.16,29.48,25.52,44.42,44.06,26.24,33.08,45.14,41.0,18.86,34.34,29.66,36.32,33.8,15.26,41.54,39.74,25.16,26.96,34.34,47.3,50.36,24.26,25.16,28.472,40.244,44.996,15.26,33.8,50.36
11-26,36.68,19.22,34.34,27.14,30.38,33.44,17.42,30.2,39.2,49.82,32.54,29.66,24.44,40.82,32.0,11.66,39.92,56.66,33.98,19.94,27.68,50.9,34.34,27.14,19.364,28.868,35.276,48.02,11.66,32.54,56.66
11-27,33.44,21.02,39.56,25.52,24.26,27.86,14.9,34.16,30.56,45.14,33.62,46.58,33.26,40.64,51.08,15.8,37.4,39.92,43.52,18.5,35.96,39.56,32.36,30.38,19.004,29.48,39.56,44.816,14.9,33.62,51.08
11-28,25.16,20.84,49.82,40.82,18.5,22.64,2.84,24.62,37.94,32.0,27.14,42.08,42.62,37.04,50.54,23.18,31.1,31.82,35.78,18.14,39.38,55.04,16.16,37.58,18.212,24.044,38.516,48.38,2.84,31.82,55.04
11-29,24.98,29.48,37.22,49.46,20.12,24.26,10.58,18.32,40.64,33.62,19.94,40.64,45.68,43.7,17.6,25.34,26.6,33.62,32.9,15.98,31.1,47.84,8.78,35.78,16.304,22.604,35.06,45.284,8.78,29.48,49.46
11-30,32.36,27.86,39.92,36.68,28.58,16.7,26.96,9.68,37.22,44.42,26.78,32.54,46.58,40.82,9.14,28.94,26.24,33.8,29.12,18.14,40.1,42.62,26.6,23.54,16.988,26.888,36.896,42.26,9.14,29.12,46.58
12-01,30.38,32.36,46.58,38.12,24.62,11.66,22.28,6.08,50.0,21.02,33.62,22.28,45.5,41.72,27.32,32.72,29.84,34.7,28.22,27.32,28.4,58.64,34.88,28.22,21.272,27.32,34.772,46.364,6.08,30.38,58.64
12-02,37.94,35.6,37.22,39.92,29.12,19.94,15.44,30.38,31.64,13.46,36.14,26.6,46.4,36.32,26.78,34.16,27.14,39.38,24.44,37.76,25.16,51.98,19.94,33.08,19.94,26.708,36.68,39.812,13.46,31.64,51.98
12-03,34.16,36.14,21.56,39.02,40.82,22.1,27.14,46.58,17.24,11.66,29.48,22.1,37.04,7.52,32.9,37.4,34.7,37.22,21.74,40.64,38.3,35.6,25.88,35.96,18.104,24.368,37.112,40.316,7.52,34.16,46.58
12-04,30.02,28.04,24.44,19.94,39.2,18.5,42.98,48.38,13.1,26.06,21.02,14.36,41.18,-0.76,42.98,41.36,33.8,21.2,21.92,36.68,41.18,41.36,30.74,42.44,15.188,21.632,39.992,42.656,-0.76,30.02,48.38
12-05,32.72,25.52,32.0,32.54,35.96,24.62,35.6,37.94,34.88,14.36,29.84,13.46,46.58,-2.38,40.64,33.98,16.52,25.52,18.14,31.82,41.0,21.38,28.4,51.8,14.792,25.16,34.34,40.1,-2.38,31.82,46.58
12-06,43.7,31.28,36.5,45.68,33.62,-0.04,30.74,30.2,47.3,0.5,33.98,30.2,29.66,-15.7,43.34,43.16,7.52,27.86,14.0,37.22,41.54,23.9,33.44,49.64,1.904,28.94,36.788,43.628,-15.7,31.28,47.3
12-07,32.18,31.1,35.24,33.8,36.5,7.88,42.44,17.78,47.12,-12.1,36.68,30.92,29.3,-17.86,40.64,46.58,0.5,38.12,26.24,42.44,43.52,30.56,30.2,40.82,1.976,29.84,37.256,43.304,-17.86,32.18,47.12
12-08,28.22,42.44,35.78,25.7,37.94,23.36,47.48,10.76,23.54,-10.48,42.08,22.82,20.3,4.1,41.0,49.64,1.04,43.52,28.04,29.12,50.18,38.12,27.68,30.38,5.432,23.468,39.272,46.688,-10.48,28.22,50.18
12-09,13.64,36.68,44.06,23.9,37.4,34.7,42.8,20.48,28.04,3.2,39.38,30.2,14.36,18.32,45.14,46.58,7.7,43.16,31.46,26.24,45.68,22.46,27.86,28.04,13.784,23.324,38.192,44.924,3.2,30.2,46.58
12-10,-2.2,23.9,40.64,18.5,49.64,33.8,38.3,21.56,44.42,20.3,34.34,41.54,26.78,22.82,45.5,35.06,27.86,44.24,39.38,28.22,28.58,21.74,31.46,39.2,20.552,25.628,38.732,44.384,-2.2,31.46,49.64
12-11,-0.76,19.04,32.54,23.0,49.28,39.2,37.22,23.0,32.54,28.58,29.3,32.36,35.06,24.98,47.66,29.66,25.34,41.72,35.06,32.72,22.28,34.7,35.06,33.44,22.424,27.284,35.06,41.216,-0.76,32.54,49.28
12-12,6.98,21.92,37.04,31.46,25.52,42.8,42.62,30.38,37.94,26.96,43.88,19.22,33.26,35.96,51.44,29.84,14.0,49.1,33.26,37.76,19.22,38.66,19.22,26.42,19.22,26.384,37.832,43.664,6.98,33.26,51.44
12-13,16.16,36.68,40.64,37.94,29.84,30.2,44.24,21.56,8.78,-3.46,45.68,29.48,30.38,32.72,43.88,36.14,15.26,33.8,33.62,33.26,20.48,37.22,20.12,30.74,15.44,26.312,36.356,43.232,-3.46,32.72,45.68
12-14,33.08,37.58,45.32,38.3,42.26,24.44,43.34,19.94,-17.32,13.64,41.36,29.66,34.52,38.12,29.66,26.24,11.12,31.82,40.46,26.96,26.78,41.54,22.82,36.32,14.9,26.564,38.192,42.116,-17.32,31.82,45.32
12-15,21.56,21.38,43.16,25.7,36.5,20.3,36.5,27.14,-15.34,34.88,29.66,29.66,26.24,50.0,23.18,21.38,11.48,44.42,41.9,23.72,28.04,21.38,17.42,36.86,17.996,21.488,31.748,42.908,-15.34,26.24,50.0
12-16,21.92,33.26,39.38,37.04,36.68,12.92,20.84,29.66,11.48,39.74,23.18,30.38,24.44,46.4,24.8,20.66,-3.64,27.5,42.26,21.56,34.88,21.74,21.38,47.3,14.468,21.668,33.908,39.668,-3.64,24.8,46.4
12-17,33.44,37.94,32.54,37.4,43.16,2.3,19.76,33.08,19.58,36.32,14.36,41.18,32.9,51.26,29.3,17.78,-3.1,26.96,45.5,37.76,37.4,15.62,23.72,38.48,14.612,22.136,37.4,42.764,-3.1,32.9,51.26
12-18,25.88,24.98,27.14,34.52,41.0,5.9,27.32,34.88,17.6,31.28,11.66,39.38,21.92,44.42,30.74,32.72,14.9,42.26,40.82,37.94,30.56,29.48,5.0,45.68,12.308,25.52,34.664,40.964,5.0,30.56,44.42
12-19,35.24,30.38,24.8,47.48,47.66,28.94,33.08,39.2,3.92,38.48,18.14,27.32,17.6,11.66,36.32,39.02,32.9,36.68,35.06,35.6,37.94,34.88,2.48,45.14,12.848,28.292,36.464,39.164,2.48,34.88,47.66
12-20,12.92,24.08,21.38,45.86,32.0,42.08,31.46,37.04,-7.06,41.54,26.42,37.4,34.7,22.28,35.42,28.94,37.4,28.22,38.48,42.8,45.5,29.3,9.14,42.98,14.612,27.5,37.4,42.656,-7.06,32.0,45.86
12-21,21.92,29.12,21.56,34.34,22.46,49.64,37.58,21.74,8.6,41.72,26.24,25.52,35.96,24.26,39.2,31.28,28.94,19.22,34.7,48.74,46.76,43.16,-18.04,42.8,19.688,23.54,36.608,46.04,-18.04,29.12,49.64
12-22,30.2,22.64,23.9,32.72,12.56,50.18,28.4,23.18,13.46,30.56,30.74,22.64,33.08,18.32,31.82,29.12,30.92,14.54,23.36,44.96,34.16,41.54,-14.98,40.46,13.676,22.964,31.28,40.064,-14.98,29.12,50.18
12-23,28.58,26.6,19.22,42.8,9.86,41.54,31.64,33.98,7.52,13.82,33.62,32.72,31.82,36.14,29.12,21.2,32.54,6.08,34.34,40.46,25.34,41.18,12.02,30.92,10.292,23.684,33.764,41.036,6.08,31.64,42.8
12-24,29.48,31.1,18.68,41.0,37.4,49.1,29.48,33.98,24.62,20.48,35.06,37.04,9.5,31.28,38.66,25.16,23.0,8.78,31.82,34.34,37.04,24.26,41.18,19.58,19.04,24.944,35.852,40.532,8.78,31.28,49.1
12-25,25.52,32.72,21.02,34.7,40.28,53.06,40.28,21.74,27.86,21.74,43.34,42.08,15.98,36.5,20.48,12.2,14.72,2.12,24.26,30.02,40.82,22.64,41.54,25.52,14.972,21.74,38.012,41.972,2.12,27.86,53.06
12-26,36.86,32.18,31.1,27.86,35.96,44.24,42.62,21.2,16.16,21.38,41.0,33.44,20.84,45.68,18.14,15.8,19.94,8.78,21.38,24.08,37.94,15.8,45.14,31.64,15.872,21.056,36.32,43.916,8.78,27.86,45.68
12-27,43.34,30.56,43.88,25.88,32.0,39.74,38.84,18.86,29.66,24.98,32.0,39.2,22.64,48.2,19.58,26.78,30.38,26.24,17.24,22.1,30.38,8.6,45.32,32.0,19.004,25.52,34.736,43.772,8.6,30.38,48.2
12-28,28.58,21.56,44.42,21.74,37.4,40.82,26.96,22.64,40.82,27.68,34.88,45.14,23.36,28.4,21.92,26.96,27.68,30.56,15.98,22.46,25.52,10.58,34.34,39.74,21.596,23.072,32.072,40.82,10.58,27.68,45.14
12-29,27.32,14.9,38.48,17.42,37.76,35.6,21.2,25.16,37.4,26.6,24.8,40.28,24.62,32.18,0.86,16.7,36.5,1.4,34.34,17.78,23.36,6.98,26.96,37.76,8.564,19.832,33.044,37.688,0.86,25.16,40.28
12-30,31.82,18.68,32.0,19.76,34.34,34.52,30.02,25.7,22.64,24.08,1.22,43.16,19.76,38.48,-2.56,16.88,33.98,0.86,31.1,23.54,30.74,21.56,31.82,36.68,4.352,20.84,31.82,34.484,-2.56,25.7,43.16
12-31,30.56,15.44,38.3,32.54,7.88,43.7,27.68,21.56,35.78,29.84,-0.04,26.24,20.3,40.1,23.72,21.38,23.54,3.92,4.1,35.6,32.18,-3.64,31.28,37.22,3.956,20.948,31.64,37.796,-3.64,26.24,43.7
01-01,32.0,18.86,33.98,29.84,4.82,38.3,33.26,20.84,27.86,33.26,13.46,25.16,24.98,27.86,29.84,30.74,13.64,19.4,15.26,40.82,31.1,9.5,27.86,32.54,13.496,20.264,30.884,33.836,4.82,27.86,40.82
01-02,39.02,30.2,45.32,19.94,26.06,38.3,44.78,42.62,36.14,36.32,21.92,44.42,25.34,35.6,35.24,29.66,-3.46,28.4,30.56,32.36,34.88,32.72,24.44,30.74,22.424,29.156,36.212,44.06,-3.46,32.72,45.32
01-03,45.14,35.78,44.42,-0.04,23.0,33.62,43.7,44.6,14.18,31.28,21.38,44.6,34.7,35.78,7.7,34.7,-4.36,35.06,41.54,37.04,39.02,40.28,23.18,30.38,8.996,28.04,39.524,44.564,-4.36,35.06,45.14
01-04,45.32,29.12,43.88,-11.38,1.94,33.8,29.48,41.72,15.8,30.56,28.94,48.02,34.88,15.44,2.48,40.64,1.4,37.4,42.98,39.2,39.92,20.3,25.34,31.64,2.048,23.324,39.488,43.7,-11.38,30.56,48.02
